Comment,Designator,Footprint,Quantity,LCSC Part #
100nF,"C1,C2,C8,C9,C10,C11,C12,C13,C15",C_0805_2012Metric,9,C49678
15pF,"C3,C4",C_0805_2012Metric,2,
4.7µF,"C5,C6,C7,C14",C_0805_2012Metric,4,
2.2µF,"C16,C17",C_0805_2012Metric,2,C23630
D_Schottky,D1,D_SOD-123,1,C64885
D_Zener,D2,D_SOD-123,1,C173407
RED,D4,LED_0805_2012Metric,2,
Polyfuse,F1,Fuse_1206_3216Metric,1,C106264
600Ω @ 100MHz,FB1,L_0805_2012Metric,1,
MT6835GT-STD,IC1,SOP65P640X120-16N,1,C2932578
Motor_Off,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,C165948
Conn_01x07,J3,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,
PWM_OUT,J4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,
CAN_Connector,J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,
I2C_Connector,J8,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,
E-Stop,J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,
UART_Connector,J10,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,
TEMP,J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,
Conn_01x05,J13,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,
Shift Register,J15,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,
MT6835,"J16,J17",JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,2,
5.1k,"R1,R2,R10,R11,R12",R_0805_2012Metric,5,
10k,"R3,R9",R_0805_2012Metric,2,
22,"R4,R5",R_0805_2012Metric,2,
1k,"R6,R7",R_0805_2012Metric,2,C17513
SW_Push,"SW1,SW2",SW_SPST_B3U-1000P,2,C231329
USBLC6-2SC6,U1,SOT-23-6,1,C7519
LDL111733R-3.3,U2,SOT-223-3_TabPin2,1,
STM32F407VGTx,U3,LQFP-100_14x14mm_P0.5mm,1,C12345
8MHz,Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,C157341
10k,R8,R_0805_2012Metric,1,
GREEN,D3,LED_0805_2012Metric,,
